courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry,courseAwardingBody
https://www.reed.co.uk/courses/online-copywriting-how-to-write-a-profitable-landing-page/262155#/courses/writing?pageno=17,Online Copywriting: How To Write A Profitable Landing Page,English_Copywriting,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/online-copywriting-how-to-write-persuasive-product-pages/262153#/courses/writing?pageno=12,Online Copywriting: How To Write Persuasive Product Pages,Marketing_Content marketing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/online-copywriting-how-to-write-persuasive-product-pages/260927#/courses/writing?pageno=14,Online Copywriting: How to Write Persuasive Product Pages,Marketing_Digital marketing,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/online-copywriting-how-to-write-a-profitable-landing-page/260928#/courses/writing?pageno=17,Online Copywriting: How to Write a Profitable Landing Page,Marketing_Digital marketing,10,Simpliv LLC,0,0,None
https://www.reed.co.uk/courses/persuasive-copywriting/218267#/courses/writing?pageno=22,Persuasive copywriting,Business_Business development,563,Centre for Strategy and Communication Ltd,0,3,None
https://www.reed.co.uk/courses/professional-writing-skills-for-non-native-english-speakers/218275#/courses/writing?pageno=15,Professional writing skills for non-native English speakers,Language,562,Centre for Strategy and Communication Ltd,0,1,None
https://www.reed.co.uk/courses/report-writing-skills/218199#/courses/writing?pageno=6,Report writing skills,Personal development_Communication_Report Writing,562,Centre for Strategy and Communication Ltd,0,9,CPD
https://www.reed.co.uk/courses/report-writing-skills/187797#/courses/writing?pageno=10,Report writing skills   ,Business_Business management,99,Training Works,0,0,None
https://www.reed.co.uk/courses/seo-content-writing-course-level-4-diploma/31686#/courses/writing?pageno=12,SEO content writing course (Level 4 Diploma),Marketing_Content marketing,296.7,College of Media and Publishing,0,77,Professional
https://www.reed.co.uk/courses/the-craft-of-copywriting-for-long-sales-pages/251316#/courses/writing?pageno=36,The Craft Of Copywriting For Long Sales Pages,Marketing_Content marketing,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/the-write-way/231167#/courses/writing?pageno=4,The write way,Business_Business management_Report Writing,42,BPP Professional Education,0,0,CPD
https://www.reed.co.uk/courses/thirty-copywriting-secrets-from-the-best-advertisement-campaign-of-all-time/262154#/courses/writing?pageno=25,Thirty Copywriting Secrets From The Best Advertisement Campaign Of All Time,Personal development_Career development,157,Skill Success,0,0,None
https://www.reed.co.uk/courses/transform-your-life-and-rewrite-your-story/264261#/courses/writing?pageno=167,Transform Your Life And Rewrite Your Story,Health &amp; care_Psychology_Counselling,29,Skill Success,0,0,None
