courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/level-2-diploma-in-interior-designing/220920#/courses/writing?pageno=159,Level 2 Diploma in Interior Designing,Design_Industrial design,29,Infinity Learning,9,0
https://www.reed.co.uk/courses/cache-level-3-certificate-in-preparing-to-work-in-adult-social-care/57607#/courses/writing?pageno=163,CACHE Level 3 Certificate in Preparing to Work in Adult Social Care,Health &amp; care_Social care,320,Online Learning College,0,8
https://www.reed.co.uk/courses/office-management-office-admin-training-level-2/72224#/courses/writing?pageno=40,Office Management - Office Admin Training - Level 2,"Admin, secretarial &amp; PA",69,Global Edulink,208,0
https://www.reed.co.uk/courses/web-development-with-xml-online-training/245955#/courses/writing?pageno=147,Web Development with XML Online Training ,IT,99,EduCBA,0,0
https://www.reed.co.uk/courses/writing-effective-user-stories-helping-stakeholders-discover-and-define-it-requirements/262606#/courses/writing?pageno=17,Writing Effective User Stories: Helping Stakeholders Discover And Define IT Requirements,IT_Business analysis,16.39,Simpliv LLC,1,0
https://www.reed.co.uk/courses/apple-logic-pro-8-essentials-training/207208#/courses/writing?pageno=134,Apple Logic Pro 8: Essentials Training  ,Management_Music management,39,Study365,1,0
https://www.reed.co.uk/courses/hotel-management-level-2/227147#/courses/writing?pageno=178,Hotel Management Level 2,Management_Hotel management,25,CPD Courses,7,0
https://www.reed.co.uk/courses/certificate-in-business-skills-level-3/266385#/courses/writing?pageno=57,Certificate in Business Skills - Level 3,Business,12,Study365,0,0
https://www.reed.co.uk/courses/diploma-in-office-administration-and-operational-management-level-4/251057#/courses/writing?pageno=80, Diploma in Office Administration and Operational Management - Level 4,"Admin, secretarial &amp; PA_Administration",12,1 Training,16,0
https://www.reed.co.uk/courses/sql-fundamentals-for-marketing-digital-and-web-analytics/260785#/courses/writing?pageno=86,"SQL Fundamentals for Marketing, Digital and Web Analytics",IT_Coding_SQL,10,Simpliv LLC,0,0
https://www.reed.co.uk/courses/tefl-tesol-cpd-accredited/266970#/courses/writing?pageno=74,TEFL / TESOL - CPD Accredited,Teaching_Education,10,Course Gate,0,0
https://www.reed.co.uk/courses/mobile-app-development-training/248096#/courses/writing?pageno=66,Mobile App Development Training,IT_Development,,The Knowledge Academy,0,0
https://www.reed.co.uk/courses/restful-services-with-node-js-simpliv/257224#/courses/writing?pageno=67,RESTful services with Node JS - Simpliv,IT_Computer,12.22,Simpliv LLC,0,0
https://www.reed.co.uk/courses/entrepreneurship-motivational-psychology-for-entrepreneurs/208961#/courses/writing?pageno=155,Entrepreneurship: Motivational Psychology for Entrepreneurs ,Business_Entrepreneurship,399,OfCourse,0,0
https://www.reed.co.uk/courses/criminal-profiling-course/247655#/courses/writing?pageno=134,Criminal profiling Course,Social Science_Criminology,199,NLP Centre OF Excellence,1,0
https://www.reed.co.uk/courses/certificate-in-the-differentiated-instruction-and-response-to-intervention-connection-online-course/191020#/courses/writing?pageno=183,"Certificate in The Differentiated Instruction and Response to Intervention Connection  Online Course - RRP &#163;400, Now Only &#163;229 For a Limited Time",Teaching,299,Courses for Success,0,0
https://www.reed.co.uk/courses/credit-modeling-project--2--cox-kings-online-course/259115#/courses/writing?pageno=121,Credit Modeling Project # 2 – Cox &amp; Kings Online Course,Finance,169,EduCBA,0,0
https://www.reed.co.uk/courses/soundbooth-cs4/209774#/courses/writing?pageno=117,Soundbooth CS4 ,Management_Music management,49,Study365,0,0
https://www.reed.co.uk/courses/microsoft-project-2013-training/214663#/courses/writing?pageno=135,Microsoft&#174; Project 2013 Training,IT,1078,KnowledgeHut,0,0
https://www.reed.co.uk/courses/become-a-freelance-writer-beginner-to-intermediate-levels/261651#/courses/writing?pageno=2,Become a Freelance Writer: Beginner to Intermediate Levels,English_Writing,10,Simpliv LLC,1,0
https://www.reed.co.uk/courses/administrative-assistant-training-level-3-course/192651#/courses/writing?pageno=88,Administrative Assistant Training level 3 course,Management,23,Staff Training Solutions,3,0
https://www.reed.co.uk/courses/certificate-in-writing-for-esl-online-course/191021#/courses/writing?pageno=7,Certificate in Writing for ESL Online Course,English,229,Courses for Success,0,0
https://www.reed.co.uk/courses/business-planning-a-research-strategy/201560#/courses/writing?pageno=69,Business Planning a Research Strategy,Business,10,CPD Courses,0,0
https://www.reed.co.uk/courses/equity-research-report-writing/224777#/courses/writing?pageno=12,Equity Research Report Writing,Finance,71,Ed-Next (Consult +),0,0
https://www.reed.co.uk/courses/junior-school-teacher-training-course-cpd-accredited/259515#/courses/writing?pageno=35,Junior School Teacher Training Course - CPD Accredited,Teaching,10,One Education,19,0
https://www.reed.co.uk/courses/closing-techniques-certificate-cpd-accredited/168039#/courses/writing?pageno=87,Closing Techniques Certificate - CPD Accredited,Sales,18,Be-a.co.uk,4,0
https://www.reed.co.uk/courses/valuation-course--broadcasting-and-cable-tv-time-warner-cable-inc/237509#/courses/writing?pageno=45,Valuation Course – Broadcasting and Cable TV - Time Warner Cable Inc.,Finance_Financial analysis,10,EduCBA,0,0
https://www.reed.co.uk/courses/certified-secure-web-application-engineer-cswae/244116#/courses/writing?pageno=153,Certified Secure Web Application Engineer (CSWAE),IT_Database,300,Stone River eLearning,0,0
https://www.reed.co.uk/courses/secretary-pa-course/29388#/courses/writing?pageno=63,Secretary PA Course,"Admin, secretarial &amp; PA",999,Souters,0,312
https://www.reed.co.uk/courses/diploma-in-office-admin-and-receptionist-training-level-4/251075#/courses/writing?pageno=33, Diploma in Office Admin and Receptionist Training - Level 4,"Admin, secretarial &amp; PA",12,1 Training,63,0
https://www.reed.co.uk/courses/4-in-1-bundle-creating-advertising-and-marketing-your-brand/226747#/courses/writing?pageno=77,"4-in-1 Bundle: Creating, Advertising and Marketing your Brand ",Marketing_Advertising,39,e-Careers.Lifestyle,2,0
https://www.reed.co.uk/courses/sage-50-accounting-payroll-cpd-accredited/267061#/courses/writing?pageno=127,Sage 50 Accounting &amp; Payroll - CPD Accredited ,Accountancy_Accounting,14,One Education,1,0
https://www.reed.co.uk/courses/project-level-1-award/233315#/courses/writing?pageno=169,Project Level 1 Award,Project management,10,Oxford Home Study College,5,0
https://www.reed.co.uk/courses/estate-agent-diploma--office-administration-complete-course--customer-service-training/228311#/courses/writing?pageno=25,Estate Agent Diploma + Office Administration Complete Course + Customer Service Training,Business_Customer service,31,Janets,96,0
https://www.reed.co.uk/courses/teaching-assistant-course-bundle-5-teaching-courses-in-1/230625#/courses/writing?pageno=143,Teaching Assistant Course Bundle - 5 Teaching Courses in 1,Teaching_SEN teaching assistant,49,Janets,9,0
https://www.reed.co.uk/courses/office-management-and-administration/266305#/courses/writing?pageno=75,Office Management and Administration,"Admin, secretarial &amp; PA_Administration",49.99,Inspire London College Ltd,2,0
https://www.reed.co.uk/courses/pr-level-1-award/237008#/courses/writing?pageno=44,PR Level 1 Award,Business_Public administration,10,Brentwood Open learning College,4,0
